,Cocktail Name,Recipe,Ingredients,Proportions
654,Long vodka,"4 Ice, 1 dl Schweppes Tonic water, 4 dashes Angostura bitters, 1/2 Lime, 5 cl Vodka","Ice, Tonic water, Angostura bitters, Lime, Vodka","4 , 1 dl Schweppes , 4 dashes , 1/2 , 5 cl "
655,Lassi Khara,"1 pinch Asafoetida, 1 tsp Salt, 2 cups cold Water, 1 cup Yoghurt","Asafoetida, Salt, Water, Yoghurt","1 pinch , 1 tsp , 2 cups cold , 1 cup "
656,Lassi Raita,"NoneSalt, NoneLime, NoneSugar, 4-6 Ice, 2 cups Yoghurt","Salt, Lime, Sugar, Ice, Yoghurt","4-6 , 2 cups "
657,Lemouroudji,"ground Cayenne pepper, 1 cup Sugar, 1 lb Lemon, 1 gal Water, 2 pieces Ginger","Cayenne pepper, Sugar, Lemon, Water, Ginger","ground , 1 cup , 1 lb , 1 gal , 2 pieces "
658,Loch Lomond,"1 twist of Lemon peel, 1/2 oz Dry Vermouth, 1/2 oz Drambuie, 2 oz Scotch","Lemon peel, Dry Vermouth, Drambuie, Scotch","1 twist of , 1/2 oz , 1/2 oz , 2 oz "
659,London Town,"2 dashes Orange bitters, 1/2 oz Maraschino liqueur, 1 1/2 oz Gin","Orange bitters, Maraschino liqueur, Gin","2 dashes , 1/2 oz , 1 1/2 oz "
660,Lassi - Mango,"1 cup iced Water, 1/2 cup Sugar, 2 cups Yoghurt, 2 Mango","Water, Sugar, Yoghurt, Mango","1 cup iced , 1/2 cup , 2 cups , 2 "
661,Lassi - Sweet,"2 tblsp Lemon juice, pinch Salt, 4 tblsp Sugar, 2 cups cold Water, 1 cup Yoghurt","Lemon juice, Salt, Sugar, Water, Yoghurt","2 tblsp , pinch , 4 tblsp , 2 cups cold , 1 cup "
662,Limona Corona,"1 oz Bacardi Limon, 1 bottle Corona","Bacardi Limon, Corona","1 oz , 1 bottle "
663,Lord And Lady,"1/2 oz Tia maria, 1 1/2 oz Dark rum","Tia maria, Dark rum","1/2 oz , 1 1/2 oz "
664,Lady Love Fizz,"NoneCarbonated water, 1 Egg white, Juice of 1/2Lemon, 1 tsp Powdered sugar, 2 tsp Light cream, 2 oz Gin","Carbonated water, Egg white, Lemon, Powdered sugar, Light cream, Gin","1 , Juice of 1/2, 1 tsp , 2 tsp , 2 oz "
665,Long Island Tea,"1 splash Coca-Cola, Juice of 1/2 Lemon, 1/2 oz Tequila, 1/2 oz Gin, 1/2 oz Light rum, 1/2 oz Vodka","Coca-Cola, Lemon, Tequila, Gin, Light rum, Vodka","1 splash , Juice of 1/2 , 1/2 oz , 1/2 oz , 1/2 oz , 1/2 oz "
666,Lone Tree Cooler,"NoneLemon peel, NoneOrange spiral, NonePowdered sugar, NoneDry Vermouth, NoneGin, NoneCarbonated water","Lemon peel, Orange spiral, Powdered sugar, Dry Vermouth, Gin, Carbonated water",
667,Lone Tree Cocktail,"1 1/2 oz Gin, 3/4 oz Sweet Vermouth","Gin, Sweet Vermouth","1 1/2 oz , 3/4 oz "
668,Lazy Coconut Paloma,"TopSoda Water, 75 mlGrapefruit Juice, 30 mlCoconut Liqueur","Soda Water, Grapefruit Juice, Coconut Liqueur","Top, 75 ml, 30 ml"
669,Long Island Iced Tea,"Twist of Lemon peel, 1 dash Coca-Cola, 1/2 oz Gin, 1/2 oz Light rum, 1/2 oz Tequila, 1/2 oz Vodka","Lemon peel, Coca-Cola, Gin, Light rum, Tequila, Vodka","Twist of , 1 dash , 1/2 oz , 1/2 oz , 1/2 oz , 1/2 oz "
670,Lemon Elderflower Spritzer,"TopFresh Lemon Juice, 1/3 cupSoda Water, 1 shotVodka, 2 tspElderflower cordial","Fresh Lemon Juice, Soda Water, Vodka, Elderflower cordial","Top, 1/3 cup, 1 shot, 2 tsp"
671,Lassi - A South Indian Drink,"1/4 tsp dried Mint, 1/4 tsp Salt, 1/2 tsp ground roasted Cumin seed, 1 1/4 cup cold Water, 1/2 cup plain Yoghurt","Mint, Salt, Cumin seed, Water, Yoghurt","1/4 tsp dried , 1/4 tsp , 1/2 tsp ground roasted , 1 1/4 cup cold , 1/2 cup plain "
672,Melya,"NoneCocoa powder, Unsweetened Honey, NoneEspresso","Cocoa powder, Honey, Espresso",
673,Mojito,"NoneSoda water, 2-4 Mint, 2 tsp Sugar, Juice of 1 Lime, 2-3 oz Light rum","Soda water, Mint, Sugar, Lime, Light rum","2-4 , 2 tsp , Juice of 1 , 2-3 oz "
674,Mimosa,"2 oz Orange juice, Chilled Champagne","Orange juice, Champagne","2 oz , Chilled "
675,Mai Tai,"1 Cherry, 1 1/2 oz Sweet and sour, 1/2 oz Triple sec, 1/2 oz Orgeat syrup, 1 oz Light rum","Cherry, Sweet and sour, Triple sec, Orgeat syrup, Light rum","1 , 1 1/2 oz , 1/2 oz , 1/2 oz , 1 oz "
676,Martini,"1 Olive, 1/3 oz Dry Vermouth, 1 2/3 oz Gin","Olive, Dry Vermouth, Gin","1 , 1/3 oz , 1 2/3 oz "
677,Michelada,"DashSoy Sauce, DashWorcestershire Sauce, DashHot Sauce, 1 tblspLime Juice, 4 ozTomato Juice, 4 ozBeer","Soy Sauce, Worcestershire Sauce, Hot Sauce, Lime Juice, Tomato Juice, Beer","Dash, Dash, Dash, 1 tblsp, 4 oz, 4 oz"
678,Manhattan,"1 twist of Orange peel, 1 Maraschino cherry, 2 or 3 Ice, dash Angostura bitters, 2 1/2 oz Blended Bourbon, 3/4 oz Sweet Vermouth","Orange peel, Maraschino cherry, Ice, Angostura bitters, Bourbon, Sweet Vermouth","1 twist of , 1 , 2 or 3 , dash , 2 1/2 oz Blended , 3/4 oz "
679,Margarita,"NoneSalt, 1 oz Lime juice, 1/2 oz Triple sec, 1 1/2 oz Tequila","Salt, Lime juice, Triple sec, Tequila","1 oz , 1/2 oz , 1 1/2 oz "
680,Mint Julep,"2 tsp Water, 1 tsp Powdered sugar, 2 1/2 oz Bourbon, 4 fresh Mint","Water, Powdered sugar, Bourbon, Mint","2 tsp , 1 tsp , 2 1/2 oz , 4 fresh "
681,Mudslinger,"750 ml Pepsi Cola, 1 L Orange juice, 750 ml Southern Comfort","Pepsi Cola, Orange juice, Southern Comfort","750 ml , 1 L , 750 ml "
682,Martinez 2,"2 dashesAngostura Bitters, 1 tspMaraschino Liqueur, 1 1/2 ozSweet Vermouth, 1 1/2 ozGin","Angostura Bitters, Maraschino Liqueur, Sweet Vermouth, Gin","2 dashes, 1 tsp, 1 1/2 oz, 1 1/2 oz"
683,Moranguito,"1/5 Grenadine, 2/5 Tequila, 2/5 Absinthe","Grenadine, Tequila, Absinthe","1/5 , 2/5 , 2/5 "
684,Miami Vice,"frozen Daiquiri mix, frozen Pina colada mix, 5 oz Bacardi 151 proof rum","Daiquiri mix, Pina colada mix, 151 proof rum","frozen , frozen , 5 oz Bacardi "
685,Moscow Mule,"8 oz Ginger ale, 2 oz Lime juice, 2 oz Vodka","Ginger ale, Lime juice, Vodka","8 oz , 2 oz , 2 oz "
686,Mulled Wine,"1/4 cup Brandy, 750 ml Red wine, 1 Lemon peel, 2 Cinnamon, 12 Cloves, 1 cup Sugar, 3 cups Water","Brandy, Red wine, Lemon peel, Cinnamon, Cloves, Sugar, Water","1/4 cup , 750 ml , 1 , 2 , 12 , 1 cup , 3 cups "
687,Masala Chai,"to tasteMilk,  to taste
Sugar, 1-2 whole Black pepper, 1 piece Cinnamon, 3 Cloves, 3-4 crushed Cardamom, 1 chunk dried Ginger, 3-4 tsp Tea, 2 cups Water","Milk, Sugar, Black pepper, Cinnamon, Cloves, Cardamom, Ginger, Tea, Water","to taste,  to taste
, 1-2 whole , 1 piece , 3 , 3-4 crushed , 1 chunk dried , 3-4 tsp , 2 cups "
688,Munich Mule,"Choppedlemon, ChoppedCucumber, 10 clGinger Beer, 2 clLime Juice, 5 clGin","lemon, Cucumber, Ginger Beer, Lime Juice, Gin","Chopped, Chopped, 10 cl, 2 cl, 5 cl"
689,Mocha-Berry,"NoneWhipped cream, 2 tblsp Cocoa powder, 2 oz Chambord raspberry liqueur, 6 oz Coffee","Whipped cream, Cocoa powder, Chambord raspberry liqueur, Coffee","2 tblsp , 2 oz , 6 oz "
690,Mango Mojito,"Garnish withMango, TopSoda Water, cubesIce, 200 mlWhite Rum, SprigMint, 1 FreshMango, 3Lime","Mango, Soda Water, Ice, White Rum, Mint, Mango, Lime","Garnish with, Top, cubes, 200 ml, Sprig, 1 Fresh, 3"
691,Mojito Extra,"8 drops Angostura bitters, 1/8 L Club soda, 1/8 L Jamaican Dark rum, 3 cl Lemon juice, 1/2 handful Mint","Angostura bitters, Club soda, Dark rum, Lemon juice, Mint","8 drops , 1/8 L , 1/8 L Jamaican , 3 cl , 1/2 handful "
692,Monkey Gland,"1 tsp Grenadine, 1/2 oz Orange juice, 1 tsp Benedictine, 2 oz Gin","Grenadine, Orange juice, Benedictine, Gin","1 tsp , 1/2 oz , 1 tsp , 2 oz "
693,Midnight Mint,"3/4 oz double Cream, 3/4 oz White Creme de Menthe, 1 oz Baileys irish cream","Cream, White Creme de Menthe, Baileys irish cream","3/4 oz double , 3/4 oz , 1 oz "
694,Mary Pickford,"1 Maraschino cherry, 1/2 tsp Grenadine, 1/2 tsp Maraschino liqueur, 1 oz Pineapple juice, 1 1/2 oz Light rum","Maraschino cherry, Grenadine, Maraschino liqueur, Pineapple juice, Light rum","1 , 1/2 tsp , 1/2 tsp , 1 oz , 1 1/2 oz "
695,Monkey Wrench,"1 dash Bitters, 3 oz Grapefruit juice, 1 1/2 oz Light rum","Bitters, Grapefruit juice, Light rum","1 dash , 3 oz , 1 1/2 oz "
696,Mother's Milk,"1 oz Milk, 1 oz Butterscotch schnapps, 1 oz Goldschlager","Milk, Butterscotch schnapps, Goldschlager","1 oz , 1 oz , 1 oz "
697,Negroni,"1 oz Sweet Vermouth, 1 oz Campari, 1 oz Gin","Sweet Vermouth, Campari, Gin","1 oz , 1 oz , 1 oz "
698,New York Sour,"NoneCherry, NoneLemon,  (Claret)
Red wine, 1 tsp Sugar, Juice of 1/2 Lemon, 2 oz Blended whiskey","Cherry, Lemon, Red wine, Sugar, Lemon, Blended whiskey"," (Claret)
, 1 tsp , Juice of 1/2 , 2 oz "
699,Nutty Irishman,"1 part Milk, 1 part Frangelico, 1 part Baileys irish cream","Milk, Frangelico, Baileys irish cream","1 part , 1 part , 1 part "
700,National Aquarium,"1 splash Lemon-lime soda, 2 oz Sour mix, 1/2 oz Blue Curacao, 1/2 oz Gin, 1/2 oz Vodka, 1/2 oz Rum","Lemon-lime soda, Sour mix, Blue Curacao, Gin, Vodka, Rum","1 splash , 2 oz , 1/2 oz , 1/2 oz , 1/2 oz , 1/2 oz "
701,New York Lemonade,"1 oz Club soda, 2 oz sweetened Lemon juice, 1 oz Grand Marnier, 2 oz Absolut Citron","Club soda, Lemon juice, Grand Marnier, Absolut Citron","1 oz , 2 oz sweetened , 1 oz , 2 oz "
702,Nuked Hot Chocolate,"12 oz Milk, 1/2 tsp Vanilla extract, 1 tsp Sugar, 2 tsp Cocoa powder","Milk, Vanilla extract, Sugar, Cocoa powder","12 oz , 1/2 tsp , 1 tsp , 2 tsp "
703,Orgasm,"1 oz Light cream, 1/2 oz Vodka, 1/2 oz Triple sec, 1/2 oz Amaretto, 1/2 oz white Creme de Cacao","Light cream, Vodka, Triple sec, Amaretto, Creme de Cacao","1 oz , 1/2 oz , 1/2 oz , 1/2 oz , 1/2 oz white "
704,Old Pal,"1 ozDry Vermouth, 1 ozCampari, 2 ozRye whiskey","Dry Vermouth, Campari, Rye whiskey","1 oz, 1 oz, 2 oz"
705,Orangeade,"NoneSoda water, 2-3 cl Sugar syrup, 15 cl Orange juice, 5 cl Lemon juice","Soda water, Sugar syrup, Orange juice, Lemon juice","2-3 cl , 15 cl , 5 cl "
706,Orange Whip,"Over Ice, 1 package Cream, 1 oz Vodka, 1 oz Rum, 4 oz Orange juice","Ice, Cream, Vodka, Rum, Orange juice","Over , 1 package , 1 oz , 1 oz , 4 oz "
707,Orange Crush,"1 oz Orange juice, 1 oz Triple sec, 1 oz Vodka","Orange juice, Triple sec, Vodka","1 oz , 1 oz , 1 oz "
708,Orange Oasis,"NoneGinger ale, 4 oz Orange juice, 1 1/2 oz Gin, 1/2 oz Cherry brandy","Ginger ale, Orange juice, Gin, Cherry brandy","4 oz , 1 1/2 oz , 1/2 oz "
709,Old Fashioned,"dashWater, 1 cubeSugar, 2 dashesAngostura bitters, 4.5 cLBourbon","Water, Sugar, Angostura bitters, Bourbon","dash, 1 cube, 2 dashes, 4.5 cL"
710,Oreo Mudslide,"1 Oreo cookie, 2 scoops Vanilla ice-cream, 1 oz Baileys irish cream, 1 oz Kahlua, 1 oz Vodka","Oreo cookie, Vanilla ice-cream, Baileys irish cream, Kahlua, Vodka","1 , 2 scoops , 1 oz , 1 oz , 1 oz "
711,Oatmeal Cookie,"1/2 partGoldschlager, 1 partJagermeister, 4 partsButterscotch schnapps, 2 partsBaileys irish cream, 2 partsKahlua","Goldschlager, Jagermeister, Butterscotch schnapps, Baileys irish cream, Kahlua","1/2 part, 1 part, 4 parts, 2 parts, 2 parts"
712,Orange Push-up,"1 splash Sour mix, 4 oz Orange juice, 0.5 oz Grenadine, 1.5 oz Spiced rum","Sour mix, Orange juice, Grenadine, Spiced rum","1 splash , 4 oz , 0.5 oz , 1.5 oz "
713,Orange Rosemary Collins,"Garnish withOrange Peel, Garnish withRosemary, TopSoda Water, 25 mlRosemary Syrup, TopLemon Juice, TopOrange Juice, 1 shotGin","Orange Peel, Rosemary, Soda Water, Rosemary Syrup, Lemon Juice, Orange Juice, Gin","Garnish with, Garnish with, Top, 25 ml, Top, Top, 1 shot"
714,Orange Scented Hot Chocolate,"1/8 tsp ground Nutmeg, 1/2 tsp instant Espresso, 3 2-inch strips Orange peel, 4 oz chopped bittersweet or semi-sweet Chocolate, 2 cups Milk","Nutmeg, Espresso, Orange peel, Chocolate, Milk","1/8 tsp ground , 1/2 tsp instant , 3 2-inch strips , 4 oz chopped bittersweet or semi-sweet , 2 cups "
715,Owen's Grandmother's Revenge,"1 cup crushed Ice, 12 oz frozen Lemonade, 12 oz Beer, 12 oz Whiskey","Ice, Lemonade, Beer, Whiskey","1 cup crushed , 12 oz frozen , 12 oz , 12 oz "
716,Paloma,"1 1/2 ozTequila, 3 ozGrape Soda","Tequila, Grape Soda","1 1/2 oz, 3 oz"
717,Paradise,"3 parts Orange Juice, 4 partsApricot Brandy, 7 partsGin","Orange Juice, Apricot Brandy, Gin","3 parts , 4 parts, 7 parts"
718,Pink Gin,"2 oz Gin, 3 dashes Bitters","Gin, Bitters","2 oz , 3 dashes "
719,Pegu Club,"1 dashOrange Bitters, 1 dashAngostura Bitters, 3/4 ozLime Juice, 3/4 ozOrange Curacao, 1 1/2 ozGin","Orange Bitters, Angostura Bitters, Lime Juice, Orange Curacao, Gin","1 dash, 1 dash, 3/4 oz, 3/4 oz, 1 1/2 oz"
720,Pink Lady,"1 Egg white, 1 tsp Light cream, 1 tsp Grenadine, 1 1/2 oz Gin","Egg white, Light cream, Grenadine, Gin","1 , 1 tsp , 1 tsp , 1 1/2 oz "
721,Pink Moon,"Garnish withBlackberries, 30 mlLime Juice, 25 mlElderflower cordial, 1 shotCoconut Liqueur, 1 shotGin","Blackberries, Lime Juice, Elderflower cordial, Coconut Liqueur, Gin","Garnish with, 30 ml, 25 ml, 1 shot, 1 shot"
722,Penicillin,"1/4 ozIslay single malt Scotch, 2 tspGinger Syrup, 2 tspHoney syrup, 3/4 ozLemon Juice, 2 ozBlended Scotch","Islay single malt Scotch, Ginger Syrup, Honey syrup, Lemon Juice, Blended Scotch","1/4 oz, 2 tsp, 2 tsp, 3/4 oz, 2 oz"
723,Pisco Sour,"NoneEgg White, 1Ice, 1-2 tblsp Sugar, 1 oz Lemon juice, 2 oz Pisco","Egg White, Ice, Sugar, Lemon juice, Pisco","1, 1-2 tblsp , 1 oz , 2 oz "
724,Porto flip,"2 partsEgg Yolk, 9 partsPort, 3 partsBrandy","Egg Yolk, Port, Brandy","2 parts, 9 parts, 3 parts"
725,Pina Colada,"3 tblsp Pineapple, 3 tblsp Coconut milk, 3 oz Light rum","Pineapple, Coconut milk, Light rum","3 tblsp , 3 tblsp , 3 oz "
726,Pink Penocha,"1 gal Cranberry juice, 1 gal Orange juice, 1750 ml Peach schnapps, 1750 ml Vodka, 750 ml Everclear","Cranberry juice, Orange juice, Peach schnapps, Vodka, Everclear","1 gal , 1 gal , 1750 ml , 1750 ml , 750 ml "
727,Pure Passion,"Garnish withMint, DashPeach Bitters, 15 mlPassion fruit syrup, 30 mlLime Juice, 20 mlPassoa, 40 mlRum","Mint, Peach Bitters, Passion fruit syrup, Lime Juice, Passoa, Rum","Garnish with, Dash, 15 ml, 30 ml, 20 ml, 40 ml"
728,Popped cherry,"4 oz Orange juice, 4 oz Cranberry juice, 2 oz Cherry liqueur, 2 oz Vodka","Orange juice, Cranberry juice, Cherry liqueur, Vodka","4 oz , 4 oz , 2 oz , 2 oz "
729,Poppy Cocktail,"3/4 oz white Creme de Cacao, 1 1/2 oz Gin","Creme de Cacao, Gin","3/4 oz white , 1 1/2 oz "
730,Port Wine Flip,"NoneNutmeg, 1 whole Egg, 1 tsp Powdered sugar, 2 tsp Light cream, 1 1/2 oz Port","Nutmeg, Egg, Powdered sugar, Light cream, Port","1 whole , 1 tsp , 2 tsp , 1 1/2 oz "
731,Planter's Punch,"1 part Pineapple juice, 2 parts Orange juice, 1/2 part Orgeat syrup, 1 part Dark rum","Pineapple juice, Orange juice, Orgeat syrup, Dark rum","1 part , 2 parts , 1/2 part , 1 part "
732,Pineapple Paloma,"RimmedPepper, Garnish withLime, 8 ozPineapple Juice, 1 ozFresh Lime Juice, 4 ozGrapefruit Juice, 4 ozTequila","Pepper, Lime, Pineapple Juice, Fresh Lime Juice, Grapefruit Juice, Tequila","Rimmed, Garnish with, 8 oz, 1 oz, 4 oz, 4 oz"
733,Pornstar Martini,"1 shotProsecco, 1 clLime, 1 clPassion fruit juice, 3 clPassoa, 3 clVodka","Prosecco, Lime, Passion fruit juice, Passoa, Vodka","1 shot, 1 cl, 1 cl, 3 cl, 3 cl"
734,Planter’s Punch,"4 dropsAngostura Bitters, 1 clSugar Syrup, 1 clGrenadine, 3.5 clPineapple Juice, 3 clOrange Juice, 4.5 cLDark Rum","Angostura Bitters, Sugar Syrup, Grenadine, Pineapple Juice, Orange Juice, Dark Rum","4 drops, 1 cl, 1 cl, 3.5 cl, 3 cl, 4.5 cL"
735,Port And Starboard,"1/2 oz Green Creme de Menthe, 1 tblsp Grenadine","Green Creme de Menthe, Grenadine","1/2 oz , 1 tblsp "
736,Port Wine Cocktail,"1/2 tsp Brandy, 2 1/2 oz Port","Brandy, Port","1/2 tsp , 2 1/2 oz "
737,Pysch Vitamin Light,"NoneIce, 1 part Pineapple juice, 1 part Apple juice, 1 part Orange juice","Ice, Pineapple juice, Apple juice, Orange juice","1 part , 1 part , 1 part "
738,Pink Panty Pulldowns,"2 cups Vodka, 2 cups Pink lemonade, 1 L Sprite","Vodka, Pink lemonade, Sprite","2 cups , 2 cups , 1 L "
739,Passion Fruit Martini,"Full GlassPassion fruit juice, 1/2 shotSugar Syrup, 1 shotVodka","Passion fruit juice, Sugar Syrup, Vodka","Full Glass, 1/2 shot, 1 shot"
740,Pineapple Gingerale Smoothie,"1/2 Pineapple, 1/4 inch Ginger","Pineapple, Ginger","1/2 , 1/4 inch "
741,Quentin,"1/8 tsp grated Nutmeg, 1 oz Light cream, 1/2 oz Kahlua, 1 1/2 oz Dark rum","Nutmeg, Light cream, Kahlua, Dark rum","1/8 tsp grated , 1 oz , 1/2 oz , 1 1/2 oz "
742,Queen Bee,"1/2 oz cream Sherry, 1 1/2 oz Lime vodka, 1 oz Coffee brandy","Sherry, Lime vodka, Coffee brandy","1/2 oz cream , 1 1/2 oz , 1 oz "
743,Quick F**K,"1 part Baileys irish cream, 1 part Midori melon liqueur, 1 part Kahlua","Baileys irish cream, Midori melon liqueur, Kahlua","1 part , 1 part , 1 part "
744,Quick-sand,"Add 250 ml Orange juice, 25 ml Black Sambuca","Orange juice, Black Sambuca","Add 250 ml , 25 ml "
745,Queen Charlotte,"NoneLemon-lime soda, 1 oz Grenadine, 2 oz Red wine","Lemon-lime soda, Grenadine, Red wine","1 oz , 2 oz "
746,Queen Elizabeth,"1 1/2 tsp Benedictine, 1 1/2 oz Gin, 1/2 oz Dry Vermouth","Benedictine, Gin, Dry Vermouth","1 1/2 tsp , 1 1/2 oz , 1/2 oz "
747,Quaker's Cocktail,"2 tsp Raspberry syrup, Juice of 1/4 Lemon, 3/4 oz Brandy, 3/4 oz Light rum","Raspberry syrup, Lemon, Brandy, Light rum","2 tsp , Juice of 1/4 , 3/4 oz , 3/4 oz "
748,Quarter Deck Cocktail,"Juice of 1/2 Lime, 1/3 oz cream Sherry, 1 1/2 Light rum","Lime, Sherry, Light rum","Juice of 1/2 , 1/3 oz cream , 1 1/2 "
749,Rose,"NonePowdered sugar, 1 tsp Grenadine, 1/2 tsp Lemon juice, 1/2 oz Apricot brandy, 1 oz Gin, 1/2 oz Dry Vermouth","Powdered sugar, Grenadine, Lemon juice, Apricot brandy, Gin, Dry Vermouth","1 tsp , 1/2 tsp , 1/2 oz , 1 oz , 1/2 oz "
750,Radler,"12 oz 7-Up, 12 oz Beer","7-Up, Beer","12 oz , 12 oz "
751,Rum Sour,"1 Maraschino cherry, 1 Orange, 1/2 tsp superfine Sugar, 1 oz Lemon juice, 2 oz Light rum","Maraschino cherry, Orange, Sugar, Lemon juice, Light rum","1 , 1 , 1/2 tsp superfine , 1 oz , 2 oz "
752,Rum Punch,"crushed Ice, 355 ml frozen Orange juice, 355 ml frozen Fruit punch, large bottle Ginger ale, mikey bottle Rum","Ice, Orange juice, Fruit punch, Ginger ale, Rum","crushed , 355 ml frozen , 355 ml frozen , large bottle , mikey bottle "
753,Rum Toddy,"2 tsp Water, 1 twist of Lemon peel, 2 tsp Powdered sugar, 2 oz light or dark Rum","Water, Lemon peel, Powdered sugar, Rum","2 tsp , 1 twist of , 2 tsp , 2 oz light or dark "
754,Royal Fizz,"NoneCoca-Cola, 1 whole Egg, 2 oz Sweet and sour, 1 oz Gin","Coca-Cola, Egg, Sweet and sour, Gin","1 whole , 2 oz , 1 oz "
755,Rum Cooler,"1 Lemon, 4 oz Lemon-lime soda, 2 oz light or dark Rum","Lemon, Lemon-lime soda, Rum","1 , 4 oz , 2 oz light or dark "
756,Rum Runner,"3-4 oz Cranberry juice, 3-4 oz Pineapple juice, 3-4 oz Orange juice, 1 oz Blackberry brandy, 1 1/2 oz Malibu rum","Cranberry juice, Pineapple juice, Orange juice, Blackberry brandy, Malibu rum","3-4 oz , 3-4 oz , 3-4 oz , 1 oz , 1 1/2 oz "
757,Rusty Nail,"1 twist of Lemon peel, 1/2 oz Drambuie, 1 1/2 oz Scotch","Lemon peel, Drambuie, Scotch","1 twist of , 1/2 oz , 1 1/2 oz "
758,Red Snapper,"1 shot Cranberry juice, 1 shot Amaretto, 1 shot Crown Royal","Cranberry juice, Amaretto, Crown Royal","1 shot , 1 shot , 1 shot "
759,Royal Bitch,"1 part Crown Royal, 1 part Frangelico","Crown Royal, Frangelico","1 part , 1 part "
760,Royal Flush,"1 oz Cranberry juice, 1/2 oz Chambord raspberry liqueur, 1 oz Peach schnapps, 1 1/2 oz Crown Royal","Cranberry juice, Chambord raspberry liqueur, Peach schnapps, Crown Royal","1 oz , 1/2 oz , 1 oz , 1 1/2 oz "
761,Rum Cobbler,"1 Orange, 1 Maraschino cherry, 2 oz Dark rum, 1 Lemon, 3 oz Club soda, 1 tsp superfine Sugar","Orange, Maraschino cherry, Dark rum, Lemon, Club soda, Sugar","1 , 1 , 2 oz , 1 , 3 oz , 1 tsp superfine "
762,Ruby Tuesday,"2 splashes Grenadine, 5 oz Cranberry juice, 2 oz Gin","Grenadine, Cranberry juice, Gin","2 splashes , 5 oz , 2 oz "
763,Rail Splitter,"NoneGinger ale, NoneLemon juice, 2 tsp Sugar syrup","Ginger ale, Lemon juice, Sugar syrup",2 tsp 
764,Rosemary Blue,"Garnish withRosemary, 100 mlTonic Water, 15 mlBlue Curacao, 50 mlGin","Rosemary, Tonic Water, Blue Curacao, Gin","Garnish with, 100 ml, 15 ml, 50 ml"
765,Ramos Gin Fizz,"2 clSoda Water, 2 dropVanilla extract, 1Egg White, 6 clCream, 3 clSugar Syrup, 3 clLemon Juice, 4.5 cLGin","Soda Water, Vanilla extract, Egg White, Cream, Sugar Syrup, Lemon Juice, Gin","2 cl, 2 drop, 1, 6 cl, 3 cl, 3 cl, 4.5 cL"
766,Royal Gin Fizz,"NoneCarbonated water, 1 whole Egg, 1 tsp Powdered sugar, Juice of 1/2 Lemon, 2 oz Gin","Carbonated water, Egg, Powdered sugar, Lemon, Gin","1 whole , 1 tsp , Juice of 1/2 , 2 oz "
767,Rum Milk Punch,"NoneNutmeg, 1 tsp Powdered sugar, 1 cup Milk, 2 oz Light rum","Nutmeg, Powdered sugar, Milk, Light rum","1 tsp , 1 cup , 2 oz "
768,Raspberry Julep,"8Mint, 1/2 ozRaspberry syrup, 2 ozBourbon","Mint, Raspberry syrup, Bourbon","8, 1/2 oz, 2 oz"
769,Rum Screwdriver,"5 oz Orange juice, 1 1/2 oz Light rum","Orange juice, Light rum","5 oz , 1 1/2 oz "
770,Raspberry Cooler,"NoneIce, 4 oz Lemon-lime soda, 2 oz Raspberry vodka","Ice, Lemon-lime soda, Raspberry vodka","4 oz , 2 oz "
771,Rum Old-fashioned,"Twist of Lime peel, 1 tsp Water, 1 dash Bitters, 1/2 tsp Powdered sugar, 1 tsp 151 proof rum, 1 1/2 oz Light rum","Lime peel, Water, Bitters, Powdered sugar, 151 proof rum, Light rum","Twist of , 1 tsp , 1 dash , 1/2 tsp , 1 tsp , 1 1/2 oz "
772,Russian Spring Punch,"2.5 clLemon Juice, 1 clSugar Syrup, 1.5 clCreme de Cassis, 2.5 clVodka","Lemon Juice, Sugar Syrup, Creme de Cassis, Vodka","2.5 cl, 1 cl, 1.5 cl, 2.5 cl"
773,Radioactive Long Island Iced Tea,"1 oz Malibu rum, 1 oz Midori melon liqueur, 1 oz Chambord raspberry liqueur, 1 oz Triple sec, 1 oz Gin, 1 oz Tequila, 1 oz Vodka, 1 oz Rum","Malibu rum, Midori melon liqueur, Chambord raspberry liqueur, Triple sec, Gin, Tequila, Vodka, Rum","1 oz , 1 oz , 1 oz , 1 oz , 1 oz , 1 oz , 1 oz , 1 oz "
774,Smut,"1/3 part Orange juice, 1/3 part Pepsi Cola, 1 shot Peach schnapps, 1/3 part Red wine","Orange juice, Pepsi Cola, Peach schnapps, Red wine","1/3 part , 1/3 part , 1 shot , 1/3 part "
775,Spritz,"splashSoda Water, 4 clCampari, 6 clProsecco","Soda Water, Campari, Prosecco","splash, 4 cl, 6 cl"
776,Scooter,"1 oz Light cream, 1 oz Amaretto, 1 oz Brandy","Light cream, Amaretto, Brandy","1 oz , 1 oz , 1 oz "
777,Sangria,"NoneCinnamon, NoneCloves, 1 cup Lemon juice, 1 cup Orange juice, 1/2 cup Sugar, 1 bottle Red wine","Cinnamon, Cloves, Lemon juice, Orange juice, Sugar, Red wine","1 cup , 1 cup , 1/2 cup , 1 bottle "
778,Stinger,"1/2 oz White Creme de Menthe, 1 1/2 oz Brandy","White Creme de Menthe, Brandy","1/2 oz , 1 1/2 oz "
